timestamp,equipment,process,electricity_kwh,fuel_type,fuel_quantity,production_volume,operating_hours,shift,temperature,pressure
2026-08-28 00:00:00,Rotary Calcination Kiln & Precalciner,Pyroprocessing & Clinkerization,93.45,coal,236.09,1770.7,1.0,Shift C (Night),1477.4,-0.82
2026-08-28 00:00:00,Raw Material Ball Mill #01,Raw Grinding & Homogenization,0.98,none,0.0,0.0,0.0,Shift C (Night),30.7,0.0
2026-08-28 00:00:00,Vertical Roller Finish Mill (VRM),Finish Grinding & Separation,1.54,none,0.0,0.0,0.0,Shift C (Night),28.6,0.0
2026-08-28 00:00:00,Recuperative Clinker Grate Cooler,Clinker Cooling,66.8,none,0.0,1768.2,1.0,Shift C (Night),283.5,0.51
2026-08-28 00:00:00,Primary Limestone Gyratory Crusher,Crushing & Quarry Handling,0.61,none,0.0,0.0,0.0,Shift C (Night),30.4,0.0
2026-08-28 00:00:00,Kiln Exhaust ID Fan & Baghouse Station,Draft & Dust Abatement,144.29,none,0.0,0.0,1.0,Shift C (Night),159.0,-3.58
2026-08-28 00:00:00,Pneumatic Dense-Phase Conveying Compressor,Pneumatic Conveying Utility,32.45,none,0.0,0.0,0.0,Shift C (Night),38.4,4.67
2026-08-28 01:00:00,Rotary Calcination Kiln & Precalciner,Pyroprocessing & Clinkerization,96.28,coal,243.23,1824.2,1.0,Shift C (Night),1450.9,-0.81
2026-08-28 01:00:00,Raw Material Ball Mill #01,Raw Grinding & Homogenization,1.97,none,0.0,0.0,0.0,Shift C (Night),29.7,0.0
2026-08-28 01:00:00,Vertical Roller Finish Mill (VRM),Finish Grinding & Separation,0.98,none,0.0,0.0,0.0,Shift C (Night),30.5,0.0
2026-08-28 01:00:00,Recuperative Clinker Grate Cooler,Clinker Cooling,68.41,none,0.0,1810.9,1.0,Shift C (Night),275.6,0.5
2026-08-28 01:00:00,Primary Limestone Gyratory Crusher,Crushing & Quarry Handling,0.87,none,0.0,0.0,0.0,Shift C (Night),30.2,0.0
2026-08-28 01:00:00,Kiln Exhaust ID Fan & Baghouse Station,Draft & Dust Abatement,147.4,none,0.0,0.0,1.0,Shift C (Night),162.5,-3.49
2026-08-28 01:00:00,Pneumatic Dense-Phase Conveying Compressor,Pneumatic Conveying Utility,33.6,none,0.0,0.0,0.0,Shift C (Night),38.4,4.67
2026-08-28 02:00:00,Rotary Calcination Kiln & Precalciner,Pyroprocessing & Clinkerization,97.51,coal,246.35,1847.6,1.0,Shift C (Night),1428.8,-0.82
2026-08-28 02:00:00,Raw Material Ball Mill #01,Raw Grinding & Homogenization,1.99,none,0.0,0.0,0.0,Shift C (Night),30.7,0.0
2026-08-28 02:00:00,Vertical Roller Finish Mill (VRM),Finish Grinding & Separation,1.47,none,0.0,0.0,0.0,Shift C (Night),30.0,0.0
2026-08-28 02:00:00,Recuperative Clinker Grate Cooler,Clinker Cooling,69.77,none,0.0,1846.7,1.0,Shift C (Night),278.7,0.49
2026-08-28 02:00:00,Primary Limestone Gyratory Crusher,Crushing & Quarry Handling,1.86,none,0.0,0.0,0.0,Shift C (Night),31.1,0.0
2026-08-28 02:00:00,Kiln Exhaust ID Fan & Baghouse Station,Draft & Dust Abatement,139.52,none,0.0,0.0,1.0,Shift C (Night),158.1,-3.48
2026-08-28 02:00:00,Pneumatic Dense-Phase Conveying Compressor,Pneumatic Conveying Utility,35.08,none,0.0,0.0,0.0,Shift C (Night),38.4,4.67
2026-08-28 03:00:00,Rotary Calcination Kiln & Precalciner,Pyroprocessing & Clinkerization,92.58,coal,233.88,1754.1,1.0,Shift C (Night),1454.5,-0.82
2026-08-28 03:00:00,Raw Material Ball Mill #01,Raw Grinding & Homogenization,0.65,none,0.0,0.0,0.0,Shift C (Night),31.8,0.0
2026-08-28 03:00:00,Vertical Roller Finish Mill (VRM),Finish Grinding & Separation,0.94,none,0.0,0.0,0.0,Shift C (Night),29.5,0.0
2026-08-28 03:00:00,Recuperative Clinker Grate Cooler,Clinker Cooling,67.36,none,0.0,1783.0,1.0,Shift C (Night),280.9,0.51
2026-08-28 03:00:00,Primary Limestone Gyratory Crusher,Crushing & Quarry Handling,1.19,none,0.0,0.0,0.0,Shift C (Night),28.7,0.0
2026-08-28 03:00:00,Kiln Exhaust ID Fan & Baghouse Station,Draft & Dust Abatement,141.15,none,0.0,0.0,1.0,Shift C (Night),159.0,-3.44
2026-08-28 03:00:00,Pneumatic Dense-Phase Conveying Compressor,Pneumatic Conveying Utility,33.92,none,0.0,0.0,0.0,Shift C (Night),38.4,4.67
2026-08-28 04:00:00,Rotary Calcination Kiln & Precalciner,Pyroprocessing & Clinkerization,95.52,coal,241.32,1809.9,1.0,Shift C (Night),1426.4,-0.78
