timestamp,equipment,process,electricity_kwh,fuel_type,fuel_quantity,production_volume,operating_hours,shift,temperature,pressure
2026-08-28 00:00:00,Medium Frequency Induction Melting Furnace (5T),Melting & Refining,285.99,none,0.0,884.0,1.0,Shift C (Night),1546.4,0.97
2026-08-28 00:00:00,Oxy-Fuel Ladle Pre-Heating Station,Ladle Heating Utility,12.05,natural_gas,55.21,0.0,1.0,Shift C (Night),1107.4,1.97
2026-08-28 00:00:00,Continuous Billet Casting Machine,Continuous Casting,61.97,none,0.0,779.7,1.0,Shift C (Night),1165.3,3.09
2026-08-28 00:00:00,Soaking Pit Reheating Furnace,Reheating & Rolling,0.94,natural_gas,0.0,0.0,0.0,Shift C (Night),28.9,0.0
2026-08-28 00:00:00,Heavy Hydraulic Forging Press (1200T),Hot Forging & Pressing,1.51,none,0.0,0.0,0.0,Shift C (Night),28.9,0.0
2026-08-28 00:00:00,High-Pressure Hydraulic Power Pack,Hydraulic Utility,28.06,none,0.0,0.0,0.0,Shift C (Night),41.6,178.5
2026-08-28 00:00:00,Primary Cooling Tower & Water Pump Station,Cooling Utility,47.02,none,0.0,0.0,1.0,Shift C (Night),27.5,3.83
2026-08-28 01:00:00,Medium Frequency Induction Melting Furnace (5T),Melting & Refining,282.43,none,0.0,873.0,1.0,Shift C (Night),1544.7,1.0
2026-08-28 01:00:00,Oxy-Fuel Ladle Pre-Heating Station,Ladle Heating Utility,12.07,natural_gas,55.3,0.0,1.0,Shift C (Night),1096.1,2.04
2026-08-28 01:00:00,Continuous Billet Casting Machine,Continuous Casting,62.4,none,0.0,785.0,1.0,Shift C (Night),1155.9,3.07
2026-08-28 01:00:00,Soaking Pit Reheating Furnace,Reheating & Rolling,1.97,natural_gas,0.0,0.0,0.0,Shift C (Night),31.0,0.0
2026-08-28 01:00:00,Heavy Hydraulic Forging Press (1200T),Hot Forging & Pressing,1.59,none,0.0,0.0,0.0,Shift C (Night),31.9,0.0
2026-08-28 01:00:00,High-Pressure Hydraulic Power Pack,Hydraulic Utility,32.02,none,0.0,0.0,0.0,Shift C (Night),41.6,178.5
2026-08-28 01:00:00,Primary Cooling Tower & Water Pump Station,Cooling Utility,47.09,none,0.0,0.0,1.0,Shift C (Night),27.9,3.89
2026-08-28 02:00:00,Medium Frequency Induction Melting Furnace (5T),Melting & Refining,284.61,none,0.0,879.7,1.0,Shift C (Night),1538.8,0.99
2026-08-28 02:00:00,Oxy-Fuel Ladle Pre-Heating Station,Ladle Heating Utility,12.44,natural_gas,57.02,0.0,1.0,Shift C (Night),1083.9,2.04
2026-08-28 02:00:00,Continuous Billet Casting Machine,Continuous Casting,64.41,none,0.0,810.3,1.0,Shift C (Night),1138.4,3.01
2026-08-28 02:00:00,Soaking Pit Reheating Furnace,Reheating & Rolling,0.78,natural_gas,0.0,0.0,0.0,Shift C (Night),31.9,0.0
2026-08-28 02:00:00,Heavy Hydraulic Forging Press (1200T),Hot Forging & Pressing,1.7,none,0.0,0.0,0.0,Shift C (Night),30.0,0.0
2026-08-28 02:00:00,High-Pressure Hydraulic Power Pack,Hydraulic Utility,30.38,none,0.0,0.0,0.0,Shift C (Night),41.6,178.5
2026-08-28 02:00:00,Primary Cooling Tower & Water Pump Station,Cooling Utility,47.28,none,0.0,0.0,1.0,Shift C (Night),28.3,3.82
2026-08-28 03:00:00,Medium Frequency Induction Melting Furnace (5T),Melting & Refining,279.84,none,0.0,865.0,1.0,Shift C (Night),1563.5,1.01
2026-08-28 03:00:00,Oxy-Fuel Ladle Pre-Heating Station,Ladle Heating Utility,12.05,natural_gas,55.24,0.0,1.0,Shift C (Night),1121.3,2.0
2026-08-28 03:00:00,Continuous Billet Casting Machine,Continuous Casting,62.37,none,0.0,784.6,1.0,Shift C (Night),1129.4,3.02
2026-08-28 03:00:00,Soaking Pit Reheating Furnace,Reheating & Rolling,1.3,natural_gas,0.0,0.0,0.0,Shift C (Night),29.7,0.0
2026-08-28 03:00:00,Heavy Hydraulic Forging Press (1200T),Hot Forging & Pressing,1.93,none,0.0,0.0,0.0,Shift C (Night),28.7,0.0
2026-08-28 03:00:00,High-Pressure Hydraulic Power Pack,Hydraulic Utility,30.8,none,0.0,0.0,0.0,Shift C (Night),41.6,178.5
2026-08-28 03:00:00,Primary Cooling Tower & Water Pump Station,Cooling Utility,48.23,none,0.0,0.0,1.0,Shift C (Night),27.5,3.77
2026-08-28 04:00:00,Medium Frequency Induction Melting Furnace (5T),Melting & Refining,283.09,none,0.0,875.0,1.0,Shift C (Night),1528.2,1.01
2026-08-28 04:00:00,Oxy-Fuel Ladle Pre-Heating Station,Ladle Heating Utility,11.58,natural_gas,53.09,0.0,1.0,Shift C (Night),1109.6,2.01
2026-08-28 04:00:00,Continuous Billet Casting Machine,Continuous Casting,64.22,none,0.0,807.9,1.0,Shift C (Night),1160.5,3.04
2026-08-28 04:00:00,Soaking Pit Reheating Furnace,Reheating & Rolling,1.29,natural_gas,0.0,0.0,0.0,Shift C (Night),30.8,0.0
2026-08-28 04:00:00,Heavy Hydraulic Forging Press (1200T),Hot Forging & Pressing,1.92,none,0.0,0.0,0.0,Shift C (Night),31.9,0.0
2026-08-28 04:00:00,High-Pressure Hydraulic Power Pack,Hydraulic Utility,29.08,none,0.0,0.0,0.0,Shift C (Night),41.6,178.5
2026-08-28 04:00:00,Primary Cooling Tower & Water Pump Station,Cooling Utility,47.82,none,0.0,0.0,1.0,Shift C (Night),28.0,3.84
2026-08-28 05:00:00,Medium Frequency Induction Melting Furnace (5T),Melting & Refining,271.27,none,0.0,838.5,1.0,Shift C (Night),1554.3,1.02
2026-08-28 05:00:00,Oxy-Fuel Ladle Pre-Heating Station,Ladle Heating Utility,12.43,natural_gas,56.96,0.0,1.0,Shift C (Night),1084.3,2.0
2026-08-28 05:00:00,Continuous Billet Casting Machine,Continuous Casting,62.9,none,0.0,791.3,1.0,Shift C (Night),1141.5,2.91
2026-08-28 05:00:00,Soaking Pit Reheating Furnace,Reheating & Rolling,1.45,natural_gas,0.0,0.0,0.0,Shift C (Night),30.8,0.0
2026-08-28 05:00:00,Heavy Hydraulic Forging Press (1200T),Hot Forging & Pressing,1.1,none,0.0,0.0,0.0,Shift C (Night),28.5,0.0
2026-08-28 05:00:00,High-Pressure Hydraulic Power Pack,Hydraulic Utility,32.89,none,0.0,0.0,0.0,Shift C (Night),41.6,178.5
2026-08-28 05:00:00,Primary Cooling Tower & Water Pump Station,Cooling Utility,48.44,none,0.0,0.0,1.0,Shift C (Night),28.0,3.85
2026-08-28 06:00:00,Medium Frequency Induction Melting Furnace (5T),Melting & Refining,280.12,none,0.0,865.8,1.0,Shift A (Morning),1534.4,1.01
2026-08-28 06:00:00,Oxy-Fuel Ladle Pre-Heating Station,Ladle Heating Utility,12.25,natural_gas,56.14,0.0,1.0,Shift A (Morning),1085.9,1.96
2026-08-28 06:00:00,Continuous Billet Casting Machine,Continuous Casting,62.74,none,0.0,789.3,1.0,Shift A (Morning),1149.8,2.93
2026-08-28 06:00:00,Soaking Pit Reheating Furnace,Reheating & Rolling,33.85,natural_gas,91.88,870.4,1.0,Shift A (Morning),1241.8,1.21
2026-08-28 06:00:00,Heavy Hydraulic Forging Press (1200T),Hot Forging & Pressing,91.16,none,0.0,621.6,1.0,Shift A (Morning),975.6,218.78
2026-08-28 06:00:00,High-Pressure Hydraulic Power Pack,Hydraulic Utility,73.13,none,0.0,0.0,1.0,Shift A (Morning),51.2,208.03
2026-08-28 06:00:00,Primary Cooling Tower & Water Pump Station,Cooling Utility,46.45,none,0.0,0.0,1.0,Shift A (Morning),27.8,3.85
2026-08-28 07:00:00,Medium Frequency Induction Melting Furnace (5T),Melting & Refining,283.34,none,0.0,875.8,1.0,Shift A (Morning),1550.0,0.98
2026-08-28 07:00:00,Oxy-Fuel Ladle Pre-Heating Station,Ladle Heating Utility,11.91,natural_gas,54.57,0.0,1.0,Shift A (Morning),1088.0,2.06
2026-08-28 07:00:00,Continuous Billet Casting Machine,Continuous Casting,62.66,none,0.0,788.3,1.0,Shift A (Morning),1142.6,3.05
