date,hour,equipment,process,electricity_kwh,fuel_type,fuel_quantity,production_volume,operating_hours
2026-08-01,0,Compressor 03 (Screw),Compressed Air,25.98,none,0.0,0.0,0.0
2026-08-01,0,Boiler 02 (Steam),Steam Generation,0.73,natural_gas,0.0,0.0,0.0
2026-08-01,0,Stenter Frame Oven,Thermal Processing,1.35,natural_gas,0.0,0.0,0.0
2026-08-01,0,Primary Chiller Unit,Cooling & HVAC,0.61,none,0.0,0.0,0.0
2026-08-01,1,Compressor 03 (Screw),Compressed Air,25.68,none,0.0,0.0,0.0
2026-08-01,1,Boiler 02 (Steam),Steam Generation,1.93,natural_gas,0.0,0.0,0.0
2026-08-01,1,Stenter Frame Oven,Thermal Processing,1.06,natural_gas,0.0,0.0,0.0
2026-08-01,1,Primary Chiller Unit,Cooling & HVAC,0.85,none,0.0,0.0,0.0
2026-08-01,2,Compressor 03 (Screw),Compressed Air,26.09,none,0.0,0.0,0.0
2026-08-01,2,Boiler 02 (Steam),Steam Generation,0.92,natural_gas,0.0,0.0,0.0
2026-08-01,2,Stenter Frame Oven,Thermal Processing,1.06,natural_gas,0.0,0.0,0.0
2026-08-01,2,Primary Chiller Unit,Cooling & HVAC,0.84,none,0.0,0.0,0.0
2026-08-01,3,Compressor 03 (Screw),Compressed Air,23.33,none,0.0,0.0,0.0
2026-08-01,3,Boiler 02 (Steam),Steam Generation,1.39,natural_gas,0.0,0.0,0.0
2026-08-01,3,Stenter Frame Oven,Thermal Processing,0.54,natural_gas,0.0,0.0,0.0
2026-08-01,3,Primary Chiller Unit,Cooling & HVAC,0.89,none,0.0,0.0,0.0
2026-08-01,4,Compressor 03 (Screw),Compressed Air,23.09,none,0.0,0.0,0.0
2026-08-01,4,Boiler 02 (Steam),Steam Generation,1.22,natural_gas,0.0,0.0,0.0
2026-08-01,4,Stenter Frame Oven,Thermal Processing,1.6,natural_gas,0.0,0.0,0.0
2026-08-01,4,Primary Chiller Unit,Cooling & HVAC,0.55,none,0.0,0.0,0.0
2026-08-01,5,Compressor 03 (Screw),Compressed Air,24.14,none,0.0,0.0,0.0
2026-08-01,5,Boiler 02 (Steam),Steam Generation,1.17,natural_gas,0.0,0.0,0.0
2026-08-01,5,Stenter Frame Oven,Thermal Processing,1.03,natural_gas,0.0,0.0,0.0
2026-08-01,5,Primary Chiller Unit,Cooling & HVAC,1.4,none,0.0,0.0,0.0
2026-08-01,6,Compressor 03 (Screw),Compressed Air,24.26,none,0.0,0.0,0.0
2026-08-01,6,Boiler 02 (Steam),Steam Generation,1.16,natural_gas,0.0,0.0,0.0
2026-08-01,6,Stenter Frame Oven,Thermal Processing,2.0,natural_gas,0.0,0.0,0.0
2026-08-01,6,Primary Chiller Unit,Cooling & HVAC,1.25,none,0.0,0.0,0.0
2026-08-01,7,Compressor 03 (Screw),Compressed Air,24.34,none,0.0,0.0,0.0
2026-08-01,7,Boiler 02 (Steam),Steam Generation,0.88,natural_gas,0.0,0.0,0.0
2026-08-01,7,Stenter Frame Oven,Thermal Processing,1.39,natural_gas,0.0,0.0,0.0
2026-08-01,7,Primary Chiller Unit,Cooling & HVAC,1.23,none,0.0,0.0,0.0
2026-08-01,8,Compressor 03 (Screw),Compressed Air,25.9,none,0.0,0.0,0.0
2026-08-01,8,Boiler 02 (Steam),Steam Generation,0.95,natural_gas,0.0,0.0,0.0
2026-08-01,8,Stenter Frame Oven,Thermal Processing,1.35,natural_gas,0.0,0.0,0.0
2026-08-01,8,Primary Chiller Unit,Cooling & HVAC,0.82,none,0.0,0.0,0.0
2026-08-01,9,Compressor 03 (Screw),Compressed Air,24.02,none,0.0,0.0,0.0
2026-08-01,9,Boiler 02 (Steam),Steam Generation,1.59,natural_gas,0.0,0.0,0.0
2026-08-01,9,Stenter Frame Oven,Thermal Processing,0.56,natural_gas,0.0,0.0,0.0
2026-08-01,9,Primary Chiller Unit,Cooling & HVAC,0.61,none,0.0,0.0,0.0
2026-08-01,10,Compressor 03 (Screw),Compressed Air,25.17,none,0.0,0.0,0.0
2026-08-01,10,Boiler 02 (Steam),Steam Generation,1.3,natural_gas,0.0,0.0,0.0
2026-08-01,10,Stenter Frame Oven,Thermal Processing,1.11,natural_gas,0.0,0.0,0.0
2026-08-01,10,Primary Chiller Unit,Cooling & HVAC,1.36,none,0.0,0.0,0.0
2026-08-01,11,Compressor 03 (Screw),Compressed Air,26.62,none,0.0,0.0,0.0
2026-08-01,11,Boiler 02 (Steam),Steam Generation,2.0,natural_gas,0.0,0.0,0.0
2026-08-01,11,Stenter Frame Oven,Thermal Processing,1.8,natural_gas,0.0,0.0,0.0
2026-08-01,11,Primary Chiller Unit,Cooling & HVAC,1.4,none,0.0,0.0,0.0
2026-08-01,12,Compressor 03 (Screw),Compressed Air,25.56,none,0.0,0.0,0.0
2026-08-01,12,Boiler 02 (Steam),Steam Generation,1.95,natural_gas,0.0,0.0,0.0
